total fitness: 2.2585, overhead fitness: 0.9753, acc fitness: 0.3080
total fitness: 2.3500, overhead fitness: 0.9640, acc fitness: 0.4220
total fitness: 2.2826, overhead fitness: 0.9713, acc fitness: 0.3400
total fitness: 2.2315, overhead fitness: 0.9808, acc fitness: 0.2700
total fitness: 2.5572, overhead fitness: 0.7846, acc fitness: 0.9880
total fitness: 2.3978, overhead fitness: 0.8699, acc fitness: 0.6580
total fitness: 2.2591, overhead fitness: 0.9975, acc fitness: 0.2640
total fitness: 2.2660, overhead fitness: 1.0000, acc fitness: 0.2660
total fitness: 1.9905, overhead fitness: 0.5003, acc fitness: 0.9900
total fitness: 2.2128, overhead fitness: 0.9854, acc fitness: 0.2420
total fitness: 2.2479, overhead fitness: 0.9790, acc fitness: 0.2900
total fitness: 2.2420, overhead fitness: 0.9970, acc fitness: 0.2480
total fitness: 2.3548, overhead fitness: 0.9664, acc fitness: 0.4220
total fitness: 2.3546, overhead fitness: 0.9663, acc fitness: 0.4220
total fitness: 2.4582, overhead fitness: 0.9641, acc fitness: 0.5300
total fitness: 2.3865, overhead fitness: 0.9643, acc fitness: 0.4580
total fitness: 2.2227, overhead fitness: 0.9833, acc fitness: 0.2560
total fitness: 1.9868, overhead fitness: 0.5004, acc fitness: 0.9860
total fitness: 2.7539, overhead fitness: 0.9089, acc fitness: 0.9360
total fitness: 2.2685, overhead fitness: 0.9993, acc fitness: 0.2700
total fitness: 2.6825, overhead fitness: 0.8652, acc fitness: 0.9520
total fitness: 2.0218, overhead fitness: 0.5189, acc fitness: 0.9840
total fitness: 2.5868, overhead fitness: 0.8024, acc fitness: 0.9820
total fitness: 2.2215, overhead fitness: 0.9817, acc fitness: 0.2580
total fitness: 2.3671, overhead fitness: 0.9675, acc fitness: 0.4320
total fitness: 2.6853, overhead fitness: 0.9437, acc fitness: 0.7980
total fitness: 2.0691, overhead fitness: 0.5386, acc fitness: 0.9920
total fitness: 2.5799, overhead fitness: 0.8540, acc fitness: 0.8720
total fitness: 2.2685, overhead fitness: 0.9992, acc fitness: 0.2700
total fitness: 2.5099, overhead fitness: 0.7630, acc fitness: 0.9840
total fitness: 2.3081, overhead fitness: 0.8691, acc fitness: 0.5700
total fitness: 2.7284, overhead fitness: 0.9032, acc fitness: 0.9220
total fitness: 2.2347, overhead fitness: 0.9964, acc fitness: 0.2420
total fitness: 2.2741, overhead fitness: 0.9711, acc fitness: 0.3320
total fitness: 2.2698, overhead fitness: 0.9969, acc fitness: 0.2760
total fitness: 2.2473, overhead fitness: 0.9717, acc fitness: 0.3040
total fitness: 2.5967, overhead fitness: 0.8063, acc fitness: 0.9840
total fitness: 2.5145, overhead fitness: 0.8472, acc fitness: 0.8200
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.7331, overhead fitness: 0.9316, acc fitness: 0.8700
total fitness: 2.0084, overhead fitness: 0.5112, acc fitness: 0.9860
total fitness: 2.5609, overhead fitness: 0.8574, acc fitness: 0.8460
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.2703, overhead fitness: 0.9992, acc fitness: 0.2720
total fitness: 2.5913, overhead fitness: 0.8127, acc fitness: 0.9660
total fitness: 2.6075, overhead fitness: 0.9007, acc fitness: 0.8060
total fitness: 2.4010, overhead fitness: 0.9635, acc fitness: 0.4740
total fitness: 2.2106, overhead fitness: 0.6173, acc fitness: 0.9760
total fitness: 2.2225, overhead fitness: 0.9802, acc fitness: 0.2620
total fitness: 2.2704, overhead fitness: 0.9732, acc fitness: 0.3240
total fitness: 1.9929, overhead fitness: 0.5005, acc fitness: 0.9920
total fitness: 2.2660, overhead fitness: 1.0000, acc fitness: 0.2660
total fitness: 2.0395, overhead fitness: 0.5247, acc fitness: 0.9900
total fitness: 2.7619, overhead fitness: 0.9219, acc fitness: 0.9180
total fitness: 2.4647, overhead fitness: 0.9593, acc fitness: 0.5460
total fitness: 2.2290, overhead fitness: 0.9795, acc fitness: 0.2700
total fitness: 2.5570, overhead fitness: 0.8595, acc fitness: 0.8380
total fitness: 2.0916, overhead fitness: 0.5558, acc fitness: 0.9800
total fitness: 2.2650, overhead fitness: 0.9975, acc fitness: 0.2700
total fitness: 2.5408, overhead fitness: 0.7764, acc fitness: 0.9880
total fitness: 2.7301, overhead fitness: 0.8901, acc fitness: 0.9500
total fitness: 1.9680, overhead fitness: 0.5000, acc fitness: 0.9680
total fitness: 2.5137, overhead fitness: 0.7649, acc fitness: 0.9840
total fitness: 2.2793, overhead fitness: 0.9986, acc fitness: 0.2820
total fitness: 2.6065, overhead fitness: 0.8223, acc fitness: 0.9620
total fitness: 2.5781, overhead fitness: 0.8471, acc fitness: 0.8840
total fitness: 2.2302, overhead fitness: 0.9721, acc fitness: 0.2860
total fitness: 2.5498, overhead fitness: 0.7819, acc fitness: 0.9860
total fitness: 2.6173, overhead fitness: 0.8177, acc fitness: 0.9820
total fitness: 2.5222, overhead fitness: 0.7681, acc fitness: 0.9860
total fitness: 2.4689, overhead fitness: 0.9584, acc fitness: 0.5520
total fitness: 1.9900, overhead fitness: 0.5000, acc fitness: 0.9900
total fitness: 2.5578, overhead fitness: 0.7869, acc fitness: 0.9840
total fitness: 1.9693, overhead fitness: 0.5007, acc fitness: 0.9680
total fitness: 2.2387, overhead fitness: 0.9763, acc fitness: 0.2860
total fitness: 2.5425, overhead fitness: 0.7773, acc fitness: 0.9880
