total fitness: 2.8524, overhead fitness: 0.9592, acc fitness: 0.9340
total fitness: 2.4713, overhead fitness: 0.9777, acc fitness: 0.5160
total fitness: 2.8338, overhead fitness: 0.9659, acc fitness: 0.9020
total fitness: 2.7968, overhead fitness: 0.9624, acc fitness: 0.8720
total fitness: 2.7081, overhead fitness: 0.9870, acc fitness: 0.7340
total fitness: 2.8309, overhead fitness: 0.9394, acc fitness: 0.9520
total fitness: 2.8464, overhead fitness: 0.9642, acc fitness: 0.9180
total fitness: 2.6140, overhead fitness: 0.9940, acc fitness: 0.6260
total fitness: 2.8325, overhead fitness: 0.9332, acc fitness: 0.9660
total fitness: 2.6272, overhead fitness: 0.8206, acc fitness: 0.9860
total fitness: 2.8530, overhead fitness: 0.9625, acc fitness: 0.9280
total fitness: 2.7997, overhead fitness: 0.9798, acc fitness: 0.8400
total fitness: 2.8344, overhead fitness: 0.9422, acc fitness: 0.9500
total fitness: 2.8386, overhead fitness: 0.9353, acc fitness: 0.9680
total fitness: 2.6517, overhead fitness: 0.8309, acc fitness: 0.9900
total fitness: 2.8253, overhead fitness: 0.9467, acc fitness: 0.9320
total fitness: 2.8394, overhead fitness: 0.9647, acc fitness: 0.9100
total fitness: 2.8310, overhead fitness: 0.9655, acc fitness: 0.9000
total fitness: 2.8381, overhead fitness: 0.9381, acc fitness: 0.9620
total fitness: 2.8420, overhead fitness: 0.9650, acc fitness: 0.9120
total fitness: 2.8406, overhead fitness: 0.9373, acc fitness: 0.9660
total fitness: 2.5907, overhead fitness: 0.9954, acc fitness: 0.6000
total fitness: 2.6020, overhead fitness: 0.8060, acc fitness: 0.9900
total fitness: 2.8470, overhead fitness: 0.9635, acc fitness: 0.9200
total fitness: 2.8076, overhead fitness: 0.9728, acc fitness: 0.8620
total fitness: 2.8355, overhead fitness: 0.9367, acc fitness: 0.9620
total fitness: 2.7978, overhead fitness: 0.9779, acc fitness: 0.8420
total fitness: 2.8594, overhead fitness: 0.9627, acc fitness: 0.9340
